SMILES,LogP
COc1cc(Cc2c[n]c(N)[n]c2N)cc(OC)c1CO,0.42
n1c(N)nc(N)c(Cc2cc(OCC)c(C(=O)OCC)c(OCC)c2)c1,2.28
COc1cc(Cc2c[n]c(N)[n]c2N)cc(OC)c1C(N)=O,-0.85
COc1cc(Cc2c[n]c(N)[n]c2N)cc(OC)c1C#N,1.39
n1c(N)nc(N)c(Cc2cc(OCC)c(C(=O)CS(=O)(=O)C)c(OCC)c2)c1,0.79
n1c(N)nc(N)c(Cc2cc(OCC)c(C(=O)C)c(OCC)c2)c1,2.04
CC(=O)c1c(cc(Cc2c[n]c(N)[n]c2N)cc1OC)OC,1.1
n1c(N)nc(N)c(Cc2cc(OC)c(COC)c(OC)c2)c1,1.19
CC(C)(O)c1c(cc(Cc2c[n]c(N)[n]c2N)cc1OC)OC,1.49
Clc1ccc(-c2ccccc2)c(Cl)c1Cl,5.86
Clc1cc2ccc(Cl)cc2c(Cl)c1,5.35
Clc1cc2cc(Cl)c(Cl)cc2cc1,5.12
Clc1ccc(Cl)c2cc(Cl)c(Cl)cc12,5.81
O=C1C=CC(=O)N1CCCCCC(=O)O,1.15
Cc1ccc(cc1)-c1[n]oc(C)[n]1,2.74
Cc1ccccc1CCN,1.6
CN1C(=O)NC(N)=C(C1=O)N(C)C=O,-2.03
COc1ccccc1NC(=O)OCCN2CCCCC2,2.91
COc2cccc(NC(=O)OCCN1CCCCC1)c2,3.12
COc2ccc(NC(=O)OCCN1CCCCC1)cc2,2.95
CCOc1ccccc1NC(=O)OCCN2CCCCC2,3.59
CCOc2ccc(NC(=O)OCCN1CCCCC1)cc2,3.41
CCCOc1ccccc1NC(=O)OCCN2CCCCC2,4.02
CCCOc2ccc(NC(=O)OCCN1CCCCC1)cc2,4.2
CCCCOc1ccccc1NC(=O)OCCN2CCCCC2,4.58
CCCCOc2ccc(NC(=O)OCCN1CCCCC1)cc2,4.69
CCCCCOc1ccccc1NC(=O)OCCN2CCCCC2,4.97
CCCCCOc2ccc(NC(=O)OCCN1CCCCC1)cc2,5.31
CCCCCCOc1ccccc1NC(=O)OCCN2CCCCC2,5.29
c1cc(OCCCCCC)ccc1NC(=O)OCCN2CCCCC2,5.41
CCCCCCCOc1ccccc1NC(=O)OCCN2CCCCC2,5.84
c1c(OCCCCCCC)cccc1NC(=O)OCCN2CCCCC2,5.53
c1cc(OCCCCCCC)ccc1NC(=O)OCCN2CCCCC2,5.87
c1c(OCCCCCCCC)cccc1NC(=O)OCCN2CCCCC2,5.82
OC(CN1CCC(CC1)N2C(=O)Nc3ccccc23)C4COc5ccccc5O4,3.43
Cc1ccccc1C(=O)Nc1cc(ccc1)OC(C)C,3.66
CCOc1ccc(cc1)C(N)=O,1.3
c1ccccc1C(c2ccccc2)=C3CCN(CCOCCOCCO)CC3,3.78
c12Sc3cc(F)ccc3C(CCCN4CCN(CCO)CC4)c1cc(C(F)(F)F)cc2,4.47
NS(=O)(=O)c1cc(cc(c1Oc1ccccc1)N1CCCC1)C(O)=O,3.92
CN(C)C(=O)Nc1cc(o[n]1)C(C)(C)C,1.98
N1=CNC(C)=C1CSCCNC(NC)=CN(=O)=O,-0.4
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,3.58
CCNc1cc(N)[n+]([O-])c(N)[n]1,-0.04
CCCCCCCCCCNc1cc(N)[n+]([O-])c(N)[n]1,4.08
Nc1[n]c(cc(N)[n+]1[O-])NC1CCCCC1,1.62
CN(C)c1cc(N)[n+]([O-])c(N)[n]1,0.16
CCCN(CCC)c1cc(N)[n+]([O-])c(N)[n]1,2.16
CCCCN(CCCC)c1cc(N)[n+]([O-])c(N)[n]1,3.19
Nc1[n]c(cc(N)[n+]1[O-])N(C1CCCCC1)C1CCCCC1,3.89
Nc1[n]c(cc(N)[n+]1[O-])N1CCOCC1,0.36
Nc1[n]c(cc(N)[n+]1[O-])N1CCCC1,0.84
CNc1cc(N)[n+]([O-])c(N)[n]1,-0.49
c1ccccc1CN(C)CCOC(=O)C2=C(C)NC(C)=C(C(=O)OC)C2c3cc(N(=O)=O)ccc3,3.82
c1cc(C(C)C)ccc1C2C(=O)c3ccccc3C2=O,4.43
C1(=O)c2ccccc2C(=O)C1c3ccc(CCCCCCCC)cc3,6.93
C1(=O)c2ccccc2C(=O)C1c3cc(C(C)C)cc(C(C)C)c3,5.96
N1C=NC(C(=O)N)=C1N=NN(C)CCCCCCCC,3.22
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2ccc[s]2)CC1,3.95
N1C(=O)N(C(=O)CC)C(=O)C(F)=C1,0.19
COc1cc(Cc2c[n]c(N)[n]c2N)cc(OC)c1N,0.83
n1c(N)nc(N)c(Cc2cc(OCC)c(N)c(OCC)c2)c1,1.69
CN(C)c1c(cc(Cc2c[n]c(N)[n]c2N)cc1OC)OC,1.51
CC(C)(C)S(=O)(=O)CSP(=S)(OCC)OCC,2.48
OC1=C(C2CC(Cc3ccccc32)c2ccc(cc2)-c2ccc(Br)cc2)C(=O)Oc2ccccc21,8.5
ClC1C(F)C(Cl)C(Cl)C(Cl)C1Cl,3.19
CC(C)(C)c1ccc(cc1)C(N)=O,2.51
CC(C)c1ccccc1C(N)=O,1.39
n1c(N)nc(N)c(Cc2cc(Br)c(OC)cc2)c1,1.88
c1c(C)c(Cl)ccc1NC(=O)NC(=N)N,2.19
O=C1NC(=O)C2(CCCC2)C(=O)N1,0.24
CCS[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,-1.51
N(N=O)(CCCl)C(=O)NC2CCCCC2O,1.545
O=C1N(C)C(=O)NC(=O)C1(CC)CCC,1.65
Clc1ccc(cc1Cl)Oc1cc(Cl)c(Cl)cc1,6.36
Cc1ccccc1OC(=O)c1ccc(N)cc1O,3.14
Cc1cc(ccc1)OC(=O)c1ccc(N)cc1O,3.64
c1cc(N)cc(O)c1C(=O)Oc2c(C)cccc2C,3.88
c1cc(N)cc(O)c1C(=O)Oc2ccccc2OC,2.88
c1cc(N)cc(O)c1C(=O)Oc2cccc(OC)c2,3.25
c1cc(C(C)C)ccc1OC(=O)c2ccc(N)cc2O,4.12
Nc1cc(O)c(cc1)C(=O)Oc1cc(N)ccc1,2.08
Nc1ccc(cc1)OC(=O)c1ccc(N)cc1O,2.04
Nc1cc(O)c(cc1)C(=O)Oc1ccccc1F,3.29
Nc1cc(O)c(cc1)C(=O)Oc1cc(F)ccc1,3.42
Nc1cc(O)c(cc1)C(=O)Oc1ccccc1Cl,3.72
Nc1cc(O)c(cc1)C(=O)Oc1cc(Cl)ccc1,3.9
Nc1cc(O)c(cc1)C(=O)Oc1ccc(Cl)cc1,3.6
c1cc(N)cc(O)c1C(=O)Oc2ccccc2Br,3.74
c1cc(N)cc(O)c1C(=O)Oc2ccc(Br)cc2,3.46
c1cc(N)cc(O)c1C(=O)Oc2cccc(C(F)(F)F)c2,3.61
C(F)(F)(F)COC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,4.15
ClC1C(OC)C(OC)C(Cl)C(Cl)C1Cl,2.82
OCC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,2.94
C(F)(F)(F)C1(OC)C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,4.06
Brc1c[n]cc[n]1,0.93
CNc1c(Cl)cccc1Cl,2.91
c1c(S(=O)(=O)N)ccc(OC)c1C(=O)NCC2CCCN2Cc3ccc(F)cc3,2.46
Clc1ccc(Cl)cc1N=C2NCCN2,2.04
COc1cc(Cc2c[n]c(N)[n]c2N)cc(OC)c1Br,2.01
n1c(N)nc(N)c(Cc2cc(OC)c(I)c(OC)c2)c1,2.4
ClC1=C(Cl)C(Cl)(C23)C(Cl)=C(Cl)C2CC1C3Cl,5.66
c1ccccc1NC(=O)N2C(=O)NC(=O)C(F)=C2,1.5
c1ccccc1CSC2=NN=NN2C,1.63
N#CC(=Cc1ccc(Br)o1)C#N,2.16
O=CCC1CC(C)C(=O)C=CC(C)=CC(C)C(CC)OC(=O)CC(O)C(C)C1OC2OC(C)CC(N(C)C)C2O,2.49
O=CCC1CC(C)C(O)C=CC=CCC(C)OC(=O)CC(OC(=O)C)C(OC)C1OC(O2)C(O)C(N(C)C)C(C2C)OC3OC(C)C(OC(=O)CC(C)C)C(O)(C)C3,2.39
CCC(C)C(NC(=O)C)C(=O)N,-0.03
CCOC(=O)N=[N+]([O-])c1ccccc1,2.53
O=P(Oc1cc(ccc1)C(C)(C)C)(Oc2ccccc2)Oc3ccccc3,5.12
n1cnc2sccc2c1NC,1.43
O1C(CO)C(O)C(O)C(O)C1OC2C(O)C(O)C(Oc3ccc(N(=O)=O)cc3)OC2CO,-1.39
c1cc2N(CCO)C(=O)CN(=O)=C(c3ccccc3)c2cc1Cl,0.82
c1cc2N(CCCOC(=O)C)C(=O)C(OC(=O)C)N=C(c3ccccc3)c2cc1Cl,3.08
CCOC3N=C(c1ccccc1)c2cc(Cl)ccc2N(CCCl)C3=O,3.95
OCCN2C(=O)C(O)N=C(c1ccccc1)c3cc(ccc23)N(=O)=O,0.72
C1=CC(=O)C=C2CCC3C4CC(C)C(O)(C(=O)COC(=O)CCC)C4(C)CC(O)C3(F)C12C,3.55
Oc1c(Cl)c(Cl)c(Cl)cc1O,3.71
CC(=O)c1cc(ccc1OCC(O)CNC(C)(C)C)NC(=O)N(CC)CC,1.92
Cc1cc(Cl)c(OP(=S)(OC)OC)c(Cl)c1,4.56
Clc1cc(C(F)(F)F)ccc1Oc2cc(C(=O)OC)c(Cl)cc2,5.04
COc1c(O)cc(Cl)c(Cl)c1Cl,3.77
OC(=O)CCCN1C(=O)C=CC1=O,0.4
OC(=O)CCCCCCCN1C(=O)C=CC1=O,1.99
O=C1C=CC(=O)N1CCC(=O)OCC,0.41
O=C1C=CC(=O)N1CCCCCC(=O)OCC,1.5
Oc1cc(Cl)c(NC2NCCN=2)c(Cl)c1,1.52
Clc1cc2c(oc3cc(Cl)c(Cl)cc32)c(Cl)c1,6.73
Clc1cc2c(oc3c2ccc(Cl)c3Cl)c(Cl)c1,6.25
Clc1ccc2c(oc3cc(Cl)c(Cl)cc23)c1Cl,6.31
Clc1c(Cl)c2c(cc1Cl)oc1cc(Cl)c(Cl)cc12,6.79
Clc3c(c(cc2c3oc1c2ccc(c1Cl)Cl)Cl)Cl,6.47
n1ccccc1CS(=O)C2=Nc3ccccc3N2,1.33
OC(CCNC1CCCCC1)COc2cccc3ccccc23,3.99
COc1[n][n]c(OC)c2ccccc21,2.22
COc1ccc(O)c2[n]cccc12,2.06
Oc1cccc2c(Cl)cc[n]c21,2.67
c1cc(OC)c2c(C)ccnc2c1O,2.75
O=C1CCc2cccc3CCN1c32,1.57
n1c(N)nc(N)nc1c2cc(Cl)ccc2F,1.81
n1c(N)nc(N)nc1c2cc(Cl)ccc2Br,1.85
n1c(N)nc(N)nc1c2cc(F)ccc2Br,1.45
Nc1[n]c([n]c(N)[n]1)-c1cc(Br)ccc1Br,2.09
Nc1[n]c([n]c(N)[n]1)-c1ccc(Cl)cc1Cl,2.07
n1c(N)nc(N)nc1c2ccc(Cl)cc2Br,2.09
n1c(N)nc(N)nc1c2c(Cl)cccc2Cl,1.38
n1c(N)nc(N)nc1c2cc(F)ccc2Cl,1.38
c1ccccc1C(=O)OCCN(C)C(=O)C,1.24
c1ccccc1C(=O)OCCOC,1.78
CCCCC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C)C(=O)CO,3.79
[O-][N+](=O)c1c[n]c(Cl)[nH]1,0.66
O=NN1CC(Cl)C(Cl)CC1,1.04
O=NN1CC(Br)C(Br)CC1,1.23
C=CCS(=O)(=O)c1cc(OC)c(OC)c(OC)c1,1.34
COc1c(cc(cc1OC)S(=O)(=O)CCN1CCCCC1)OC,1.6
c1c(OC)c(OC)c(OC)cc1S(=O)(=O)CCN2CCOCC2,1.29
O=C1N(C)C(=O)NC(=O)C1(CC)C(C)CCC,2.45
COC(=O)c1ccccc1S(N)(=O)=O,0.01
COc1ccc(cc1)C(=O)N1CCCCC1,2.4
COCCOCCOc1ccccc1OCCOCCOC,0.76
c1cccc(OCCOCCOCCOC)c1OCCOCCOCCOC,0.38
C1=C(C)N2C(=O)C(CC)=CN=C2C=C1,1.79
O=C1Nc2cc(Cl)ccc2N1C1CCN(CCCN2c3ccccc3NC2=O)CC1,3.9
COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C,1.68
c2ccccc2C1=C(C)SSC1=O,2.93
CC(C)NC(=O)NN,-1.3
CCNC(=O)NC(=O)/C(/C#N)=N/OC,0.59
CCOC(=O)NC1=C(C(=O)C(NC(=O)OCC)=C(C1=O)N1CC1)N1CC1,-0.02
c1cc(C)ccc1S(=O)(=O)Oc2n(C)nc(C)c2C(=O)c3ccc(Cl)cc3Cl,3.9
CCNCC(F)(F)F,0.74
C=C(CC(=O)c1ccc(cc1)-c1ccccc1Cl)C(O)=O,3.32
CC(=O)Nc1ccc(cc1)C(N)=O,0.01
CC(=O)Nc1cc(ccc1)C#N,1.2
c1cc(OC)ccc1NC(=O)NC(=N)N,0.56
c1cc(C(#N))c(OC)cc1NC(=O)NC(=N)N,1.28
C1C(C)CCCC1(c2ccccc2)N3CCCCC3,5.86
[I-].C[N+](C)(C)CC1CSCO1,-2.7
O=C(OC2CC(CC(C2)C)(C)C)COc1ccc(cc1)F,1.64
CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CC(C)C)C(C)C)C(O)=O,-1.57
COC(=O)Cc1cc[s]c1,1.46
O=C(CN1CCCCC1)Nc1ccc(Br)cc1,3.57
O=C(CN1CCCCC1)Nc1ccccc1F,2.16
O=C(CN1CCCCC1)Nc1ccccc1Br,2.94
O=C(CN1CCCCC1)Nc1cccc(F)c1,2.85
C1CCCCN1CC(=O)Nc2cc(I)ccc2,3.92
C1CCCCN1CC(=O)Nc2ccc(OCC)cc2,2.82
CC(C)Cc1cc(cc[n]1)C(=O)NN,1.02
c1cnc(OCC)cc1C(=O)NN,0.48
Nc1cc(cc[n]1)C(=O)NN,-0.98
c1cnc(CNC(=O)C)cc1C(=O)NN,-1.58
NNC(=O)c1cc[n]c(Cl)c1,0.11
NNC(=O)c1ccnc(N(=O)(=O))c1,-0.76
NNC(=O)c1cc([n]cc1)-c1ccccc1,1.36
N(N=O)(CCCl)C(=O)NC1C(O)CCCC1O,0.16
O1C(COC(=O)C)C(OC(=O)C)C(OC(=O)C)C(OC(=O)C)C1NC(=O)N(N=O)CCCl,1.04
CCCC(C)CCC(C)=O,2.92
OC(=O)C(C)N(C(=O)c1ccccc1)c2ccc(F)c(Cl)c2,2.9
Cc1cc(Br)cc(c1O)C(=O)NC(C)C,4.19
Cc1cc(Br)cc(c1O)C(=O)NC1CC1,3.8
Cc1cc(Cl)cc(c1O)C(=O)NCC,3.55
COc1cc(ccc1)S(N)(=O)=O,0.53
c1ccc2C(C3)CC(N)C3c2c1,2.0
C1C(C2)c3ccccc3C2C1NC,2.32
Clc1cc2oc3c(c2cc1Cl)c(Cl)c(Cl)cc3Cl,6.26
Cc1cccc(C)c1N(C1CCOC1=O)C(=O)CCl,1.39
n1ccccc1c2cc3ccccc3cn2,3.05
O1CC(OC(=O)C)C(OC(=O)C)C(OC(=O)C)C1NC(=O)N(N=O)CCCl,1.05
Clc1c(c(c2c(c(c(cc2c1Cl)Cl)Cl)Cl)Cl)Cl,8.2
CC(=O)NC1=C(Nc2ccccc2)C(=O)c2ccccc2C1=O,1.73
Clc1cc(Cl)c2[nH]c3c(cc(Cl)cc3Cl)c2c1,5.75
CC(C)CC1C(=O)NC(=O)N1,0.35
CC1CC(=O)N(CCOc2cc3ccccc3cc2)N=1,2.74
NCCCCCc1cc[n]cc1,1.4
NCCCCCc1cccc[n]1,1.32
CCCCNC1=CC(=O)c2ccccc2C1=O,3.11
c1c(C)cccc1OCC(O)CNCCc2cc(OC)c(OC)cc2,3.0
C[n]1c[n]c(Br)c1[N+]([O-])=O,0.77
CSCC[C@H](N)C(=O)N1CCC[C@H]1C(O)=O,-2.52
Nc1[n]c2c([n]c[n]2COCCO)c(N)[n]1,-1.06
NC1NC(=O)c2[n]c[n](COCCO)c2N=1,-1.56
CC(=O)Nc1ccc(Cl)cc1F,1.91
Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1,7.25
Cc1c[n]c(Cl)c[n]1,1.08
S1C(C(=O)OCCC)=CC=C1,3.01
C=CCN1CCCC1CNC(=O)c2c(OC)cc3NN=Nc3c2,1.79
Cc(cccc1C)c1NC(C(CC)N)=O,0.84
CC(=O)OC1CCCCC1NC(=O)N(N=O)CCCl,1.98
s1cccc1C(C)=NO,1.81
N1CCNC1=Nc2c(Cl)cc(Cl)c(Cl)c2,2.11
CN(C)N=N(=O)c1ccccc1,1.8
COc1cccc(Cc2c[n]c(N)[n]c2N)c1,1.54
Clc1ccc(Cl)cc1SCC(=O)NC2C(=O)N3C(C(=O)O)=C(COC(=O)C)CSC23,1.66
N1=CNC(C)=C1CSCCNC(NC)=NN(=O)=O,0.18
c1cc(C(=O)N)ccc1N=NN(C)CC,1.69
c1cc(C(=O)N)ccc1N=NN(C)CCO,0.26
c1cc(C(=O)N)ccc1N=NN(C)CCCC,2.46
CCCCCN(C)/N=N/c1ccc(cc1)C(N)=O,3.18
NC(=O)c1ccc(N=NN(C)Cc2ccccc2)cc1,2.76
c1cc(C(=O)N)ccc1N=NN(C)C(C)(C)C,2.61
CC(C)N1CCC(CC1)N(C(=O)Cc1ccccc1)c1ccc(Cl)cc1,4.85
C[n]1c(COc2ccc(cc2)SC)[n]cc1[N+]([O-])=O,2.5
N1CCNC1=Nc2c(F)cccc2F,0.93
Clc1cccc(F)c1N=C2NCCN2,1.45
CCCOC(=O)c1ccc(cc1)S(N)(=O)=O,1.75
CCCCOC(=O)c1ccc(cc1)S(N)(=O)=O,2.34
CCNC(=O)c1ccc(S(=O)(=O)N)cc1,0.03
CCCCNC(=O)c1ccc(S(=O)(=O)N)cc1,1.05
CCCCCNC(=O)c1ccc(S(=O)(=O)N)cc1,1.51
CCCCCCNC(=O)c1ccc(S(=O)(=O)N)cc1,2.05
O=C1CC(C(=O)OC)CN1C,-0.74
O=NN1CC(Cl)C(Cl)C1,0.83
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,2.92
OCCN1CCN(CC1)C1=C(C(=O)C(=C(C1=O)N1CC1)N1CCN(CCO)CC1)N1CC1,-0.77
OCCNC1=C(C(=O)C(NCCO)=C(C1=O)N1CC1)N1CC1,-1.47
OC(CNC1=C(C(=O)C(NCC(O)CO)=C(C1=O)N1CC1)N1CC1)CO,-1.97
Oc1cc2OC=CC(=O)c2cc1,1.44
O=C(OC)C(C1(C)C)C1C=C(Cl)Cl,3.63
S1C=CC(C(=O)NC)=C1,0.81
CC(=O)Nc1c(cccc1C)[N+]([O-])=O,0.61
CN(C)CNC(=O)c1ccccc1,0.63
S1C=CSC1=C(C(=O)OC(C)C)C(=O)OC(C)C,3.75
CCCCCCOc1ccc(CC(=O)O)cc1,3.96
OCC(CO)(CO)NC(=O)Nc1ccccc1,0.43
O(C(C=C)(CC1)C)C1C(O)(C)C,2.43
COC1C(OC)C(OC)C(Cl)C(Cl)C1Cl,1.87
ClC1C(OC)C(SC)C(Cl)C(Cl)C1Cl,3.3
ClC1CC(Cl)C(Cl)CC1Cl,2.82
NC(=O)c1c[s]c([n]1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-1.73
Clc1ccc(cc1Cl)Oc1cc(Cl)c(Cl)cc1Cl,6.6
CC(C)CNCC(=O)NC(=O)C=N#N,0.37
O=C(N1CCOCC1)CNC(C=N#N)=O,-0.47
NC(=O)N=N(=O)c1ccccc1,0.58
N#C/N=[N+](\[O-])/c1ccc(cc1)[N+]([O-])=O,1.51
NCC1(CC(O)=O)CCCCC1,-1.1
COc1ccccc1N(C(=O)CCl)CC(=O)OCC,1.78
CC(C)Oc1ccccc1N(C(=O)CCl)CC(=O)OCC,2.75
CC(C)NC(=O)NO,0.2
OC(c1ccccc1Cl)(c1ccc(Cl)cc1)c1c[n]c[n]c1,3.6
COCC(O)Cn1c(C)ncc1N(=O)(=O),0.04
Clc1ccc(c(Cl)c1)C3(Cn2cncn2)OCCO3,2.32
CCCC1COC(C[n]2c[n]c[n]2)(O1)c1ccc(Cl)cc1Cl,3.72
OC1C(n2c3c(c(ncn3)NC)nc2)OC(C1O)CO,-0.52
OCc1cc(Cl)cc(Cl)c1,2.9
c1cc(Cl)ccc1NC(=N)NC(=N)NC,1.58
CC/N=C(\N)/N=C(\N)/Nc1ccc(Cl)cc1,2.14
CCCc1c2OC(=CC(=O)c2cc2CCCCc12)C(O)=O,4.2
CCCc1c2OC(=CC(=O)c2c(O)c2CCCCc21)C(O)=O,5.0
CC1OC(=Cc2ccc(cc2)OC)C(=O)C=1C(=O)OCC,2.96
O2C(CO)C(O)C(O)C(O)C2Oc1c(I)c(OC3OC(CO)C(O)C(O)C3O)c(I)cc1,-1.31
C[n]1c(c[n]c1[N+]([O-])=O)C(C)(C)O,0.43
c1[n]cc[n]1C(c1ccc(cc1)-c1ccccc1)c1ccccc1,4.77
O=C1CCC(=O)N1c2cc(F)ccc2,0.38
O=C1CCC(=O)N1c1ccc(F)cc1,0.29
CCCNC(=O)C1=CC=CO1,1.1
OC(=O)Cc1cc(Cl)c(OCc2ccccc2)cc1,3.43
O=C(NCCCCNC(=O)N(CCCl)N=O)N(CCCl)N=O,0.9
OCCNC(=O)N(CCCl)N=O,0.3
O=C1NC(=O)NC(=O)C1(CC)CCCCCCC,2.91
OC(=O)c1cc2OCCOCCOCCOCCOCCOc2cc1,-0.28
O=C1C(c2ccc(O)cc2)NC(C)(C)N1C3C4SC(C)(C)C(C(=O)OCOC)N4C3=O,0.3
C1(=O)NC(=O)N(C(=O)N(C)C)C=C1F,-0.37
c1c(Cl)cccc1C2NCCS2,2.04
C1CC(COC(=O)C)CCC1NC(=O)N(N=O)CCCl,2.24
O1C(c2cc(Cl)ccc2)CN(C(C)C)CC1,3.27
c1ncccc1C2(O)CCC(=O)N2C,-0.57
O=C1C(Cl)C(CN1c1cc(ccc1)C(F)(F)F)CCl,3.36
OCc1ccc(N)cc1,-0.22
O=C(c1ccccc1)N1C(=O)NC=C(F)C1=O,0.8
CC1C(O)CC(=O)OC(CC)C(CO)C=C(C)C=CC(=O)C(C)CC(CC=O)C1OC2OC(C)C(O)C(N(C)C)C2O,0.99
c1ccc2OCCOCCOCCOCCOCCOCCOc3ccccc3OCCOc2c1,1.63
Clc1cc(ccc1Cl)Oc1ccccc1Cl,5.5
Clc1ccc(cc1)Oc1cc(Cl)c(Cl)cc1Cl,5.99
NC(=O)NC(=O)C(Cl)C(C)C,1.0
CCC1(CC=C)C(=O)NC(=O)N(C)C1=O,1.35
NCCc1cc(OC)c(OC(C)C)c(OC)c1,1.52
NCCc1cc(OC)c(Br)c(OC)c1,2.03
c1ccccc1N(C(=O)CC)C2(C(=O)OC)CCN(CCc3ccccc3)CC2C,4.22
Clc1cc(C(F)(F)F)ccc1Sc2cc(C(=O)OC)c(N(=O)(=O))cc2,4.76
CCCCCCNC(=O)N1C=C(F)C(=O)NC1=O,2.63
CC(C)(SC(=O)N1CCCCC1)c1ccccc1,4.02
O/N=C\c1c[n][n][s]1,0.86
s1c(C)nnc1C=NO,0.78
Cc1[n]c2ccccc2c([n]1)-c1ccccc1,3.1
CCN1CCN(C(=O)C1=O)C(=O)N[C@H](c1ccccc1)C(=O)N[C@H]1[C@H]2SC(C)(C)[C@H](C(O)=O)N2C1=O,0.5
CC(C)N1CCN=C1CN2c3cc(Cl)ccc3SCCCC2,5.15
S=C=NCCCCc1ccccc1,4.0
n1c(N)nc(N)c(Cc2cc(N(C)C)c(OC)c(N(C)C(=O)C)c2)c1,1.01
n1c(N)nc(N)c(Cc2cc(N(C)C)c(OC)c(N(C)C)c2)c1,2.05
CNc1cc(Cc2c[n]c(N)[n]c2N)cc(c1)NC,0.44
n1c(N)nc(N)c(Cc2cc(NC)c(C)c(N(C)C(=O)C)c2)c1,0.53
CC(C)(C)NCC(O)COc1cccc2CN(CCc12)C=O,1.3
C1=CC(=NNC(=N)N)C=CC1=NNC(=O)N,1.56
OC(=O)c1c(OCCCCC)cc(N)cc1,2.38
OC(=O)c1c(OCCC(C)C)cc(N)cc1,2.3
n1c(N)nc(N)c(Cc2cc(NC)c(OC)c(N(C)C)c2)c1,1.56
CCCCCCC(C)(C)c1cc2OC(C)(C)C3CC=C(C)CC3c2c(O)c1,9.96
c1cc2c(OC(=O)C)c(OC)c(OC)c(OC(=O)C)c2cc1,2.39
CSc1cc(OC)c(CCN)cc1OC,1.81
CN(C)c1c[n]cc(Cl)[n]1,1.95
CN(C)C(=O)Nc1ccc(cc1)C(=O)c1ccccc1,2.59
CCCCCOC(=O)C(=C1SCCS1)C(=O)OCCCCC,5.6
Cc1ccc(cc1)S(=O)(=O)CC(=O)c1ccc(Cl)cc1,3.43
Cc1ccc(cc1)C(=O)CS(=O)(=O)c1ccc(C)cc1,3.3
NCCc1[n]c(c[s]1)-c1ccccc1,2.22
Cc1cc(C2CNCCO2)ccc1,1.52
CSC1=NN=CC(=O)N1N,0.38
CC(C)(O)C(=O)Nc1ccc(Cl)cc1,2.0
CC(C)(O)C(=O)Nc1ccc(cc1)[N+]([O-])=O,1.61
Clc1cccc2[n]cc[n]c21,1.75
NCCCCc1cc[n]cc1,0.86
O1C(CO)C(O)C(O)C(O)C1OCCC,-1.66
C(C)(C)NNC(=O)COc1c(OC)cccc1,1.11
C(C)(C)NNC(=O)COc1cc(OC)ccc1,1.33
Oc1ccc(F)cc1C(=O)c1ccc(Cl)cc1,4.05
Cc1ccc2C(=O)NC(=O)Nc2c1,0.55
n1nc(OCC)ccc1,0.63
C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O,0.34
OCC(O)Cn1c(C)ncc1N(=O)(=O),-0.59
Oc1ccc(F)cc1C(=NCCCC(=O)N)c2ccc(Cl)cc2,3.06
c1cc(C)ccc1NC(=O)NN,0.69
c1(OC)ccccc1NC(=O)NN,-0.15
c1cc(OC)ccc1NC(=O)NN,0.17
Cc1ccc(CN(C)N=O)cc1,2.14
N#C/N=[N+](\[O-])/c1cccc(Cl)c1,2.4
N#C/N=[N+](\[O-])/c1cccc(Br)c1,2.56
N#C/N=[N+](\[O-])/c1cc(ccc1)[N+]([O-])=O,1.45
COc1cc(ccc1)/[N+](/[O-])=N/C#N,2.24
COc1ccc(cc1)/[N+](/[O-])=N/C#N,2.15
CN(C)c1ccc(cc1)/[N+](/[O-])=N/C#N,2.3
O=C1C(=O)N(CC)CCN1C(=O)NC(c2ccc(O)cc2)C(=O)NC3C(=O)N4C(C(=O)O)=C(CSc5n(C)nnn5)CSC34,-0.74
CCN(Cc1c(F)cccc1Cl)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,5.45
O=CNc1cccc2ccc[n]c21,1.8
C[n]1c(c[n]c1/C=C/c1cc[n]c(N)[n]1)[N+]([O-])=O,0.85
CCCCCOC(=O)Nc1ccccc1,3.8
CN(C)CCNC(=O)c1ccccc1,1.1
